Rank,Company,Country,Industry,Revenue in USD
1,Walmart,&#160;United States,Retail,$500 billion
2,State Grid,&#160;China,Energy,$349 billion
3,Sinopec Group,&#160;China,Petroleum,$327 billion
4,China National Petroleum,&#160;China,Petroleum,$326 billion
5,Royal Dutch Shell,&#160;Netherlands &#160;United Kingdom,Petroleum,$312 billion
6,Toyota Motor,&#160;Japan,Automobiles,$265 billion
7,Volkswagen,&#160;Germany,Automobiles,$260 billion
8,BP,&#160;United Kingdom,Petroleum,$245 billion
9,Exxon Mobil,&#160;United States,Petroleum,$244 billion
10,Berkshire Hathaway,&#160;United States,Holding,$242 billion
