Sector,Company,Headquarters,Overall  rank,Revenues  ($M)
Aerospace &amp; Defense,China North Industries Group,Beijing,0136#136,81,785
Apparel,Christian Dior,Paris,0156#156,75,924
Business services,Randstad,Diemen,0491#491,29,126
Chemicals,Sinochem Holdings&#160;&#91;zh&#93;,Beijing,0031#31,172,260
Energy,State Grid,Beijing,0003#3,460,617
Engineering &amp; Construction,China State Construction Engineering,Beijing,0009#9,293,712
Financials,Berkshire Hathaway,Omaha,0014#14,276,094
Food &amp; Drug Stores,Walgreens Boots Alliance,Deerfield,0045#45,148,579
Food, Beverages &amp; Tobacco,Nestlé,Vevey,0103#103,95,293
Health Care,CVS Health,Woonsocket,0010#10,292,111
Household Products,Procter &amp; Gamble,Cincinnati,0154#154,76,118
Industrials,Hengli Group,Suzhou,0075#75,113,536
Materials,China Baowu Steel Group,Shanghai,0044#44,150,730
Media,Walt Disney,Burbank,0183#183,67,418
Motor Vehicles &amp; Parts,Volkswagen,Wolfsburg,0008#8,295,820
Retailing,Walmart,Bentonville,0001#1,572,754
Technology,Apple,Cupertino,0007#7,365,817
Telecommunications,AT&amp;T,Dallas,0032#32,168,864
Transportation,China Post Group,Beijing,0081#81,108,669
Wholesalers,Trafigura Group,Singapore,0019#19,231,308
