Rank,Company,Country,Industry,Revenue in USD
1,Walmart,&#160;United States,Retail,$524 billion
2,Sinopec Group,&#160;China,Petroleum,$407 billion
3,State Grid,&#160;China,Energy,$384 billion
4,China National Petroleum,&#160;China,Petroleum,$379 billion
5,Royal Dutch Shell,&#160;Netherlands / &#160;United Kingdom,Petroleum,$352 billion
6,Saudi Aramco,&#160;Saudi Arabia,Energy,$330 billion
7,Volkswagen,&#160;Germany,Automobiles,$283 billion
8,BP,&#160;United Kingdom,Petroleum,$283 billion
9,Amazon.com,&#160;United States,Internet Services and Retailing,$281 billion
10,Toyota Motor,&#160;Japan,Automobiles,$275 billion
