Rank,Company,Country,Industry,Revenue in USD
1,Walmart,&#160;United States,Retail,$514 billion
2,Sinopec Group,&#160;China,Petroleum,$415 billion
3,Royal Dutch Shell,&#160;Netherlands &#160;United Kingdom,Petroleum,$397 billion
4,China National Petroleum,&#160;China,Petroleum,$393 billion
5,State Grid,&#160;China,Energy,$387 billion
6,Saudi Aramco,&#160;Saudi Arabia,Energy,$356 billion
7,BP,&#160;United Kingdom,Petroleum,$304 billion
8,Exxon Mobil,&#160;United States,Petroleum,$290 billion
9,Volkswagen,&#160;Germany,Automobiles,$278 billion
10,Toyota Motor,&#160;Japan,Automobiles,$273 billion
